roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,brier,train_seconds,n_train,n_val,n_test,brier_platt,brier_isotonic,ece_raw,ece_platt,ece_isotonic,calibration_method,seed,model
0.9357083665264154,0.9492813897717781,0.8705065359477124,0.9436619718309859,0.7823185988323603,0.9551641313050441,0.8554491564067488,0.09010825659012667,0.67,11419,2447,2448,0.09282417585465068,0.09010974568725948,0.017409325452305856,0.03900068386420629,0.017476563061427,isotonic,42,lgbm
0.939096231113331,0.9519059637062639,0.8741830065359477,0.9337877312560857,0.7998331943286072,0.9455564451561249,0.8616352201257862,0.08839836017994143,0.87,11419,2447,2448,0.09104811462679108,0.08875634583492147,0.013725627524042812,0.038337702245500586,0.013634836247646288,isotonic,52,lgbm
0.932745529200675,0.9468725794994631,0.866421568627451,0.9274509803921569,0.7889908256880734,0.9407526020816653,0.8526363226678684,0.09384212106354319,0.73,11419,2447,2448,0.09660572000671257,0.0937761852927742,0.013548077078298729,0.033691903406984164,0.013056575340207228,isotonic,62,lgbm
0.9303048777637623,0.9456409643999856,0.866421568627451,0.948559670781893,0.7689741451209341,0.9599679743795037,0.8493781667434362,0.09520037363477943,0.93,11419,2447,2448,0.09663324224936583,0.09631470619278212,0.013104992452910667,0.030182775993852197,0.01998592088707022,isotonic,72,lgbm
0.9367908004468629,0.9500782650840511,0.8766339869281046,0.9410029498525073,0.7981651376146789,0.9519615692554043,0.8637184115523465,0.0902785910920406,0.6,11419,2447,2448,0.09309006604723755,0.09082089323389665,0.022124988056998002,0.03780932610769067,0.017182977542158365,isotonic,82,lgbm
0.9367253602715365,0.9500014080878031,0.8733660130718954,0.9494438827098078,0.7831526271893244,0.9599679743795037,0.8583180987202925,0.0896669402718544,7.95,11419,2447,2448,0.0922593536848785,0.08994320655412925,0.010707175728729541,0.034720556616191806,0.014051672959662993,isotonic,42,xgb
0.9386277996542356,0.9512499906550742,0.8696895424836601,0.9322200392927309,0.7914929107589658,0.944755804643715,0.8561118628777628,0.08916935324668884,5.63,11419,2447,2448,0.09236231367088625,0.08910940765300548,0.013884437228804105,0.03821995885760368,0.012428826764658962,isotonic,52,xgb
0.9336610238983514,0.9474426881101089,0.8680555555555556,0.9269005847953217,0.7931609674728941,0.9399519615692554,0.8548314606741573,0.09339803457260132,5.36,11419,2447,2448,0.09646373961902906,0.09349248269527798,0.01347519129741438,0.036605400054385895,0.011701133993240496,isotonic,62,xgb
0.9310748014591823,0.9459733657339063,0.8639705882352942,0.9454732510288066,0.7664720600500416,0.9575660528422738,0.8466144633809305,0.0947156697511673,1.91,11419,2447,2448,0.09639661220865431,0.094506492936054,0.011265155142538407,0.03376537017281557,0.016465758767307583,isotonic,72,xgb
0.9378451885778849,0.9509636802482025,0.8790849673202614,0.9474727452923687,0.7973311092577148,0.9575660528422738,0.8659420289855072,0.0893096774816513,1.76,11419,2447,2448,0.09180987306050607,0.08978521563523921,0.025417679795436837,0.04160818462709231,0.02045551416713592,isotonic,82,xgb
0.909106935256295,0.9244474342970674,0.8349673202614379,0.8789323164918971,0.7689741451209341,0.8983186549239391,0.8202846975088968,0.11840904198021353,40.54,11419,2447,2448,0.11729328030975336,0.11715808880205596,0.039405345583485026,0.034581090361571906,0.025742879003688292,isotonic,42,mlp
0.9068111870647477,0.9158736089379569,0.8402777777777778,0.8537653239929948,0.8131776480400333,0.866293034427542,0.8329773601025203,0.12471634258750618,32.09,11419,2447,2448,0.12073180896051076,0.1185551112151236,0.062297394515310744,0.0358058433091324,0.01938939757069788,isotonic,52,mlp
0.8747902408665882,0.8887301790045202,0.7990196078431373,0.8252069917203312,0.7481234361968306,0.8478783026421137,0.7847769028871391,0.14717972483236275,23.85,11419,2447,2448,0.14113667545738293,0.13808926034817312,0.06959956279433922,0.03746801971518548,0.014444716507543719,isotonic,62,mlp
0.9011719801195419,0.9169891774550565,0.8341503267973857,0.8607825295723385,0.7889908256880734,0.877502001601281,0.8233246301131418,0.12491361711220132,35.02,11419,2447,2448,0.12279992167607556,0.12230656905903672,0.04690171390365615,0.03843078087821482,0.023550804294257828,isotonic,72,mlp
0.8957598105173046,0.9126076812392071,0.826797385620915,0.8487848784878488,0.786488740617181,0.8654923939151321,0.8164502164502164,0.12827297194236456,25.61,11419,2447,2448,0.12575944962282656,0.12453900464175778,0.050091797401979596,0.03532438808040993,0.02311893013505819,isotonic,82,mlp
0.9238677013337107,0.9407349320244784,0.8598856209150327,0.9163424124513618,0.7856547122602169,0.9311449159327462,0.8459811405478221,0.10121977732998741,87.03,11419,2447,2448,0.10325368145963078,0.10124156832418148,0.020029692585963377,0.030601849303577212,0.017274822805489646,isotonic,42,fttransformer
0.9315048368970404,0.9448345267810092,0.8615196078431373,0.9103053435114504,0.7956630525437864,0.9247397918334668,0.8491321762349799,0.09841568979248695,59.65,11419,2447,2448,0.10088643620639313,0.09774049748640876,0.01951802890282791,0.04628950793917171,0.00916130865581659,isotonic,52,fttransformer
0.9207005303992987,0.9359240916895936,0.8513071895424836,0.9162512462612163,0.7664720600500416,0.932746196957566,0.8346957311534968,0.10640914254994709,42.08,11419,2447,2448,0.10883346941275707,0.10641227029304255,0.023687831866362107,0.03770910797119196,0.016138222406315073,isotonic,62,fttransformer
0.9222156707851686,0.9368421413636243,0.8439542483660131,0.935965848452508,0.731442869057548,0.9519615692554043,0.8211610486891385,0.10928357615062395,34.79,11419,2447,2448,0.10783870715497694,0.10719223962943918,0.04679309042635937,0.0369903477365921,0.022023987003478396,isotonic,72,fttransformer
0.9300978731275262,0.9441922830523449,0.863562091503268,0.9107312440645774,0.7998331943286072,0.9247397918334668,0.8516873889875666,0.09854510103221494,52.35,11419,2447,2448,0.1015906070417774,0.09732655529346311,0.022222570174136407,0.0493728503090574,0.011518224023089784,isotonic,82,fttransformer
